 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Contributor,PC1,PC2,PC3
236,ETERNAL LOOP (clear),SABER TIGER,138,10B,81,2025-09-08,08:42,28,,,ETERNAL LOOP,2001-11-21,47,0,0,23,0,10,-6,D,3,10GgqzqOVFXXQcBZ0UNrOV,VAP,JPVP00110503,Angel,0.535955212789876,-1.250274319445343,-0.2465596440938754
237,Sunburn,Fuel,94,9A,79,2025-09-08,04:23,51,post-grunge,Rock,Sunburn,1997-00-00,50,0,0,55,0,0,-7,E minor,4,35EXxM1zE4eg2G6f3PSle4,Epic,USSM19702941,Sam,0.3536992915140017,0.24471097500252456,-0.8190222377919276
238,House Tour,Sabrina Carpenter,118,2B,88,2025-09-08,02:49,84,pop,Pop,Man’s Best Friend,2025-08-29,77,13,0,61,0,30,-5,F#/G♭,4,25jgQBxuUkGDdCG1WGKKN9,Island Records,USUM72504449,Sarah,1.2446571448947135,0.7998959121509454,0.06782520421148551
239,Divine,"MONJOE, ☆Taku Takahashi, SWEEP, JUVENILE, New PANTY & STOCKING with GARTERBELT",113,10A,94,2025-09-09,03:16,55,j-r&b,"Pop, R&B",Divine,2025-08-14,82,5,0,47,10,30,-5,B minor,4,2yCiAcwmjCoB3UtZrMdzbu,FlyingDog,JPVI02501879,Sarah,1.5031062194101186,0.8168549809687872,1.0923232289658946
240,Andrew in Drag,The Magnetic Fields,120,8B,73,2025-09-10,02:12,38,anti-folk,Folk,Love at the Bottom of the Sea,2012-03-06,68,46,0,45,0,30,-6,C,4,5ehMCdeOhsgsx25M6wAEzu,Merge Records,USMRG1243902,Sarah,-0.05338610932527602,0.30528513327655554,0.4176494794582662
241,Boyfriend,Big Time Rush,164,12A,86,2025-09-11,03:21,62,,,BTR,2010-10-11,61,10,0,68,10,10,-4,C♯/D♭ minor,4,1rKBOL9kJfX1Y4C3QaOvRH,Nickelodeon/Columbia,USSM11003623,Sarah,1.7158226993842716,-0.12018946564494996,0.18289632198204464
242,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",123,9A,69,2025-09-11,03:14,97,k-pop,Pop,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,65,10,0,10,0,10,-4,E minor,3,1CPZ5BxNNd0n0nF4Orb9JS,K-Pop Demon Hunters,QZ8BZ2513510,Sarah,0.20516068514701538,-0.44944421889608904,0.001395986141157107
243,Pop It,"Anamanaguchi, meesh",116,2B,90,2025-09-18,04:00,30,vocaloid,Electronic,Pop It,2014-09-19,56,8,0,93,0,0,-3,F#/G♭,4,7Bcoyj1W0f2j1FskIcYaOV,Polyvinyl Records,USA2P1451384,Miller,1.7182269210200989,0.7998222860485067,-1.3214646295490438
244,Too Sweet,Hozier,117,6B,62,2025-09-18,04:11,79,,,Unreal Unearth: Unaired,2024-08-19,74,3,0,93,0,0,-6,A#/B♭,4,76JKIsdKrAfWUMjaA0u7v5,Columbia,USSM12401865,Miller,0.7542104003790251,1.7839932343070772,-1.1102537619016108
245,I know but,Sagong,120,12B,57,2025-09-25,02:57,12,,,I know but,2021-04-27,74,44,32,92,0,20,-8,E,4,6ZgO32yB5gf42VSEaxaoTO,Sagong,KRMIM2117833,Eunice,-0.503482874634622,1.3413332952103971,-0.7890347383543211
246,Vices,Sarah and the Sundays,150,5A,82,2025-09-25,04:35,44,,,The Living End,2021-10-15,56,5,0,61,0,10,-7,C minor,4,5rICq1ntzHJHRrGHtydPfr,Sarah and the Sundays/Fourward Music,GBKPL2162182,Eunice,0.9044846160547285,-0.27069379419494993,-0.6017311533379213
247,southbound,Artemas,97,9B,92,2025-10-02,02:17,71,,,southbound / test drive,2025-03-19,57,0,0,57,20,50,-4,G,4,4jiwz2tQZo21Z4NQwz4zUt,Artemas,QZJ842501250,Jean,1.82696617217521,-0.024509992279478855,2.4508215930510673
248,PRETTY PLEASE,"Dutch Melrose, benny mayne",122,9A,69,2025-10-02,02:46,71,dark r&b,R&B,PRETTY PLEASE,2024-04-24,68,1,0,70,0,40,-6,E minor,4,6kOdk29M8h6ZfHz4byVG0t,MADKID RECORDS,QZK6N2432063,Jean,0.9641532480625201,0.5217174507846523,0.32110212325981285
249,Til I Am Myself Again - 2012 Remaster,Blue Rodeo,129,9B,91,2025-10-03,03:59,48,"country rock, alt country","Country, Rock",Casino,1990-11-20,57,3,0,84,0,40,-4,G,4,5eHPODjuuKkrJXwhhaMaQa,Warner Music Canada,CAW111200083,Clark,1.9348377572652562,0.04493884663849268,0.008662637752274332
250,Forgiving Ties,Deer Tick,140,11B,89,2025-10-03,04:10,30,"alt country, americana","Country, Rock, Folk",Emotional Contracts,2023-06-16,54,0,0,89,0,10,-5,A,4,0XcqVw2XsH6Mdbl5FLMwJk,ATO Records LLC,USATO2200577,Clark,1.705594129781276,0.21543965352798114,-0.9802298557538691
251,Plant Life,Owl City,160,6B,73,2025-10-06,04:10,34,,,All Things Bright And Beautiful,2011-01-01,40,23,0,51,0,0,-7,A#/B♭,3,3Uq06PHpVt4T9KYceuPYZn,Universal Records,USUM71104678,TJ,0.17642230752601784,-1.0599889675222582,-0.75248234775713
252,Up All Night,Owl City,91,7A,88,2025-10-06,03:51,40,,,Ultraviolet,2015-05-14,55,1,0,48,0,0,-5,D minor,4,44hRtTWULYEMCetZqyUniO,Owl City/Republic Records,USUM71406978,TJ,0.7861652571360647,0.2714585534602613,-0.8056939756454246
253,Devil Like You,The Bridge City Sinners,123,8A,50,2025-10-11,02:50,49,"folk punk, southern gothic, anti-folk","Folk, Rock",Unholy Hymns,2021-08-20,65,76,0,83,0,20,-7,A minor,4,6GsLqBcfvyst18CeWPTgHx,Flail Records,QZHN62127246,Gabe,-0.9031342617346589,1.2412030060591226,-0.07264855191090885
254,Dirty Imbecile,The Happy Fits,100,5B,53,2025-10-11,03:59,57,,,Awfully Apeelin',2016-08-27,84,48,0,39,10,10,-10,D#/E♭,4,7evpKJpRBRpCHux5JaczZX,Diamond City and Many Hats Distribution,GBMJG1610596,Gabe,-1.2947276790627589,1.6595297516116219,1.0062219430174975
255,Wires,The Neighbourhood,73,6A,57,2025-10-11,03:13,61,,,I'm Sorry...,2013-05-08,57,0,10,27,0,30,-6,G minor,4,5v8aEcHcaJIGYpfVVPtJjI,the [r]evolve group,USSM11204648,Gabe,-0.38197489298628784,-0.02816070366011,0.3668060595089656
256,Courage to Grow,Rebelution,140,1A,58,2025-10-11,04:15,54,"reggae, reggae rock, roots reggae","Reggae, Rock",Courage to Grow,2007-06-08,78,0,0,86,0,0,-7,G#/A♭ minor,4,33Ib9wPVhh2MWHhmS7Yne9,87 Music,ushm20777311,Gabe,0.6553161956382454,1.5398112306058542,-1.0210314657336816
257,You Dont Love Me,Caro Emerald,189,4A,76,2025-10-11,03:53,0,"electro swing, swing music","Electronic, Jazz",Deleted Scenes From The Cutting Room Floor,2010-01-29,61,78,0,67,20,10,-5,F minor,4,7J4JMsAqdJIipDPTGsAjXN,Grandmono Records,NLHR30900019,Gabe,0.48924649686640276,-0.10840935503069746,1.3961648283415857
258,Northern Star,Dom Fera,79,7B,42,2025-10-11,03:36,49,,,One October,2020-11-17,48,80,0,37,0,0,-7,F,3,5B0iPguskBzONMtfVspNFF,Dom Fera,TCAFF2067392,Gabe,-2.2381620324352074,0.5242682478685543,-0.16501367819893617
259,Best Friend,Satellite Lovers,104,11A,49,2025-10-11,04:59,41,"shibuya-kei, japanese indie, city pop","Pop, Rock, Electronic",Sons of 1973,1996-07-01,71,26,1,96,0,0,-13,F#/G♭ minor,4,2Yn2a8sgxEJqYTupKGySeM,Sony Music Labels Inc.,JPB209600054,Eunice,-1.0741448833328244,2.1849491210617185,-0.8775287037259216
260,MELODY,"FreeTEMPO, Cana (I-dep)",125,12B,88,2025-10-11,04:29,35,,,FreeTEMPO BEST ALBUM “TENSE”,2010-01-01,66,19,35,97,0,0,-5,E,4,4uQHrYBkFj9HB9kbQC55TD,Universal Music LLC,JPPO00637690,Eunice,1.0300507795875862,0.8676285866748188,-1.8275144325545347
261,War Pigs,Black Sabbath,91,11B,61,2025-10-11,07:54,62,,,The Ultimate Collection,2017-02-03,46,12,1,50,0,10,-12,A,4,0HVQuuXGAcQ2P5mBN521ae,Rhino/Warner Records,GBAJE7000063,Sam,-1.0852938606846572,0.15443058673433643,-0.2570879957432566
262,Suite: Judy Blue Eyes - 2005 Remaster,"Crosby, Stills & Nash",154,11B,36,2025-10-13,07:24,59,"folk rock, yacht rock","Folk, Rock, Pop","Crosby, Stills & Nash",1969-05-29,46,47,0,30,0,20,-13,A,4,2PuUFT13yCzUOZun94WOXv,Rhino Atlantic,USAT20506555,Sam,-2.167680330806286,-0.9026354870144451,0.4826269954349074
263,Lithonia,Childish Gambino,140,3B,38,2025-10-13,02:59,60,,,Lithonia,2024-07-02,42,9,0,17,0,10,-8,C♯/D♭,4,4JfpJrrGNXRj2yXm1fYV23,Wolf+Rothstein/RCA Records,USRC12402124,Sam,-1.0819737253056139,-1.261398186937237,0.06809332862386443
264,Rosas,Fabiancito,132,11B,87,2025-10-14,03:11,33,,,Casa Pepe,2020-01-17,63,6,0,86,0,30,-8,A,4,5eI5VWGkYcSVhMoLsQqnTu,Lagartija Records,GBMA21874010,Angel,1.2027940118606544,0.5284923377650019,-0.20628623938517057
265,Unlock the Future,cleaned,170,9B,95,2025-10-16,04:25,12,,,DEEPER,2024-12-18,45,4,89,79,0,10,-7,G,4,6msUoeZNMNjk0bnHlzlo7T,CapturisM.,JPB622401323,Angel,0.7175203350876619,-1.7908945103354663,-2.344221540616873
266,Beers with my name on them,Asher White,160,11A,65,2025-10-17,04:58,23,,,8 Tips for Full Catastrophe Living,2025-09-12,47,1,48,25,10,10,-17,F#/G♭ minor,4,46ik88q0awURfYD4NAuuKM,Joyful Noise Recordings,USJZA2550202,Tony,-1.6361259552084295,-1.672581753103327,0.13670738175217503
267,for Charles Bronson,the cabs,91,4B,93,2025-10-17,01:44,34,,,the first action,2011-04-13,28,0,59,79,0,30,-3,G#/A♭,4,7aXIWCL24qEYxXoVeyDtgw,zankyo records,TCJPG1724813,Tony,1.0917691659062605,-1.3861467693682494,-1.2859675372340764
268,Daft Punk Is Playing at My House,LCD Soundsystem,136,9B,91,2025-10-17,05:14,59,,,LCD Soundsystem,2005-01-24,92,2,0,97,0,10,-5,G,4,73mlvsfJM2qwlDUJxeaatI,Parlophone UK,US4GE0400025,Tony,1.996847060184969,2.0509479886992388,-0.9666494591953949
269,Dance Wid' Me,Hepcat,122,12B,72,2025-10-17,03:26,35,,,Out Of Nowhere,2004-03-23,88,32,0,95,0,20,-7,E,4,6hBiP3KP0JsYhxUSM7XKfy,Hellcat/Epitaph,USHEL0305301,Tony,0.6445909384485636,2.1862576216219516,-0.39818731537562324
270,I Don't Know - Radio Mix,Erika,130,1B,96,2025-10-18,03:21,73,,,I Don't Know,2003-05-29,74,9,1,88,0,80,-7,B,4,5t1QXsY6FNn42RGHiETiKD,Time Records,ITL010300157,Sarah,1.9203106205596556,0.43342003642790755,1.297058272877789
271,Tokyo Drift (Fast & Furious) - From  The Fast And The Furious: Tokyo Drift  Soundtrack,Teriyaki Boyz,127,2B,89,2025-10-18,04:15,68,,,The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack),2006-06-20,76,18,0,94,10,0,-5,F#/G♭,4,5iJfzXKvQXlYOBtEQhEmpA,Universal (MT),USUG10600159,Micah,1.57201631681041,1.673302252991647,-0.29647497415946383
272,LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari",126,6B,59,2025-10-18,03:33,83,"hip hop, west coast hip hop",Hip Hop,DAMN.,2017-04-14,80,26,0,78,0,10,-7,A#/B♭,4,6PGoSes0D9eUDeeAafB2As,Aftermath,USUM71703088,Micah,0.1352490412873927,1.635471897470316,-0.5179200986949666
273,Grim Reaper,Public Theatre,125,11B,59,2025-10-19,03:37,38,,,Otherside,2019-01-01,72,2,0,52,0,0,-4,A,4,4RUDNRnv25LuMjXFJ6Q7tP,Public Theatre,TCADY1812851,Puffy,0.5589771236373099,0.7765071554757395,-0.7198603383563599
274,Rock Star Skinny,The Real Zebos,145,7B,75,2025-10-19,04:38,39,,,Strictly Platonic.,2019-06-28,62,0,0,66,0,0,-6,F,4,65tObqreCtRiTJW8dUjIdI,The Real Zebos,QZFYW1915816,Puffy,0.9483481620525264,0.2704571953541129,-0.9520592220635449
275,Breezy Slide,"Louie Zong, Brian David Gilbert",102,7B,56,2025-10-19,03:01,33,,,Breezy Slide,2022-02-12,64,17,0,57,0,10,-13,F,4,7tITkd2OToE32ELyKO7OQM,Fuji Apple Records,QZDA42226509,Puffy,-1.1771755826218637,0.9907024708417612,-0.21918655017326136
276,Mmm Mmm Mmm Mmm,Crash Test Dummies,93,5B,57,2025-10-19,03:55,68,,,God Shuffled His Feet,1993-04-05,58,25,0,37,0,0,-8,D#/E♭,4,76nvqWPFucUra1xCkN1tnD,Arista,CAA359300084,Puffy,-0.9393223404483757,0.5020649634240546,-0.39954170231564146
277,Sunny,Boney M.,122,5A,87,2025-10-19,04:02,71,,,Take The Heat Off Me,1976-00-00,65,9,12,80,10,10,-6,C minor,4,3pf96IFggfQuT6Gafqx2rt,MCI,DED168000002,Puffy,1.2208717168535377,0.755514412505781,-0.059315182926726405
278,Pumpkin,The Regrettes,120,6B,62,2025-10-19,03:27,46,,,How Do You Love?,2019-08-09,57,1,0,23,0,10,-4,A#/B♭,4,3erMpGAv6cGCEcYcaE19p1,Warner Records,USWB11900393,Miller,0.2637648585939215,-0.4878199985551251,-0.15338276470436527
279,Le bal des chats,Cécile Corbel,131,10B,74,2025-10-19,02:11,34,,,Enfant du vent,2019-03-29,75,59,0,92,0,30,-7,D,4,2LIxcHN4oC4VR7x1I5EBRi,Universal Music Division Decca Records France,FRUM71802217,Puffy,0.26873057290687324,1.4117701668676965,-0.007483479791544649
280,Colors,Halsey,100,3B,81,2025-10-19,04:09,73,,,BADLANDS,2015-08-28,51,5,0,52,0,0,-5,C♯/D♭,4,1TnUURhehaoMWKAqQtirm6,Astralwerks (ASW),USUM71507629,Miller,0.6293749455412153,0.10975826970220008,-0.8198961098235426
281,Yogurt Stained on the Floor,"LamazeP, Hatsune Miku",170,10A,92,2025-10-20,02:06,8,,,Re：Habilis,2023-12-11,77,11,0,60,0,30,-3,B minor,4,3ZB2tOq7oLAYaDjanDf6YI,U&R records,JPA652308942,Shelbie,2.0247496579988997,-0.01226236700896274,-0.03294914962376764
282,Fire Burning,Sean Kingston,123,3B,81,2025-10-24,04:03,50,,,Fire Burning,2009-04-30,84,2,0,89,0,30,-3,C♯/D♭,4,7gDKfEMIhyyO4asgEXwcrs,Epic/Beluga Heights,USSM10902107,Sarah,1.9445854430902572,1.534901629289118,-0.25971714830283027
283,UWU,Chevy,117,7B,4,2025-10-28,01:49,47,,,UWU,2018-12-22,86,99,0,18,0,10,-17,F,4,4aTKyYeIzC0ask2ZJicjIJ,902751 Records DK,QZ4JJ1809679,Shelbie,-4.677615900673834,1.669438338690612,0.840862153154768
284,Equestria Girls (Cafeteria Song),"Twilight Sparkle, My Little Pony",112,12B,73,2025-10-30,02:53,57,,,Equestria Girls: Original Motion Picture Soundtrack,2014-09-23,77,5,0,86,0,0,-6,E,4,4CEajAOGBNjCH1OdSJtaR2,Hasbro,USQX91600652,Sarah,0.8999883004586384,1.78425435460917,-1.0672406280578774
285,The Legendary Theme,PPF,140,12B,26,2025-10-31,02:46,24,,,The Legendary Theme,2019-02-20,63,90,89,7,0,10,-6,E,4,3BktaFoAsiwQgaV0NxPB8e,651604 Records DK,QZDA81923381,Angel,-3.258446971628935,-1.2746900858877022,-0.910501253259032
286,Blood On Me,Sampha,104,1B,52,2025-11-02,04:06,39,,,Process,2017-02-03,78,12,1,61,10,60,-8,B,4,3Wdwnr9TGwmyUfPNB9iekU,Young,UK7MC1600028,TJ,0.14663250048034088,1.0476912253010577,2.136628349927423
287,"a FEW songs (feat. Love Mansuy, Ogi, and Smino)","Saba, No ID, Love Mansuy, Ogi, Smino",82,9B,72,2025-11-02,03:07,43,,,From The Private Collection of Saba and No ID,2025-03-18,67,55,0,47,20,10,-8,G,4,7K9DMSR7ZlN1aAzJas8220,"From The Private Collection, LLP",QMFMF2450875,TJ,-0.6161780677841899,1.2577927196733718,1.7123529187463433
288,In My Head,Jason Derulo,110,5A,73,2025-11-02,03:18,64,,,Jason Derulo,2010-02-24,76,3,0,85,0,50,-4,C minor,4,5BoIP8Eha5hwmRVURkC2Us,Beluga Heights/Warner Records,USWB10904633,Sarah,1.529067569608988,1.147908368525529,0.4572511269144276
289,Royal,Waterparks,120,4B,90,2025-11-03,03:31,38,pop punk,"Pop, Rock",Double Dare,2016-11-03,50,0,0,34,0,20,-4,G#/A♭,4,1CMj3RNTdHBnLU7hoZjjKY,Equal Vision Records,US3X51636704,Miller,1.1451558201772667,-0.8712182551724559,-0.10538759473602549
290,C'est La Vie,Weathers,92,11A,79,2025-11-03,03:14,0,,,C'est La Vie,2020-06-26,58,2,0,63,10,10,-5,F#/G♭ minor,4,1AFqqY3WHzJ18o3NLK07gE,Weathers,QZ93L2023538,Miller,0.9488144570331871,0.6901392248128579,0.31589155082214887
291,サマーアイドル,OSTER project,89,12B,90,2025-11-03,04:17,29,,,Attractive Museum,2014-04-23,41,1,0,92,0,10,-4,E,4,6IWQMOubrT9skrCKz2LE2h,Subcul-rise Record,JPT361400003,Shelbie,1.4713149386787414,0.39618096206640896,-1.018091807833877
292,Bop Gun (Endangered Species),Parliament,102,10A,64,2025-11-05,08:35,35,,,Funkentelechy Vs. The Placebo Syndrome,1977-11-28,77,34,0,84,0,10,-12,B minor,4,3fHrnF1MxAZaiGVkGIxM9h,Mercury Records,USPR37702460,Sam,-0.7242574153010162,2.051328743249595,-0.46457223503814443
293,Castle on the Hill,Ed Sheeran,135,10B,83,2025-11-06,04:21,78,,,÷ (Deluxe),2017-03-03,46,2,0,47,10,10,-5,D,4,6PCUP3dWmTjcTtXY02oFdT,Atlantic Records UK,GBAHS1600462,Kathryn,1.0971116748967171,-0.7526390621184399,0.3963678942902565
294,Galway Girl,Ed Sheeran,100,11B,88,2025-11-06,02:50,79,,,÷ (Deluxe),2017-03-03,62,7,0,78,10,30,-3,A,4,0afhq8XCExXpqazXczTSve,Atlantic Records UK,GBAHS1700026,Kathryn,1.7736757140376127,0.7348879082232092,0.723812673711666
295,Midnight Memories,One Direction,156,11A,87,2025-11-06,02:56,66,,,Midnight Memories (Deluxe),2013-11-25,43,1,0,57,0,20,-2,F#/G♭ minor,4,5wjmqUGN7vrAqFqDWrywlZ,Syco Music,GBHMU1300212,Kathryn,1.8272568870770334,-1.248271337166128,-0.41898343905842544
296,Best Song Ever,One Direction,118,3B,88,2025-11-06,03:20,75,,,Midnight Memories (Deluxe),2013-11-25,65,2,0,49,0,0,-3,C♯/D♭,4,5T7ZFtCcOgkpjxcuaeZbw0,Syco Music,GBHMU1300102,Kathryn,1.3195090749129976,0.3088467832463304,-0.8504351297658248
297,Army of Ancients,Dr. Dog,139,7B,66,2025-11-06,04:05,0,,,FATE,2008-07-22,53,19,0,50,0,90,-7,F,3,5lrr5ULU5P9tA8NPUPTS42,Park The Van,USNNZ0800004,Shelbie,0.5752906324261098,-1.1955604335751682,2.135888343213763
298,blue,yung kai,97,12B,32,2025-11-07,03:34,83,,,blue,2024-08-02,75,93,2,59,0,10,-12,E,3,3be9ACTxtcL6Zm4vJRUiPG,BMG Rights Management (US) LLC,TLVEM2456474,Aiden,-2.8705324962789893,1.9334694980654312,0.12311390439200623
299,Undercover Martyn,Two Door Cinema Club,160,10A,86,2025-11-07,02:47,69,,,Tourist History,2010-02-17,44,0,0,58,10,0,-5,B minor,4,1JmRbZclLHgneDrpyA9e3X,Glassnote - VMG,FRU700900115,Aiden,1.4306674650976265,-0.8888198591500959,-0.08007868946022853
300,"SOME DAY, THAT PLACE IN TIME",DOOPEES,114,10B,46,2025-11-09,05:05,46,,,DOOPEE TIME,1995-10-20,37,40,44,18,0,0,-8,D,4,1IXwJdkVaYva6lMkZb0W8i,"FOR LIFE MUSIC ENTERTAINMENT, INC.",JPFL09503470,Angel,-2.0632019183254653,-1.443443264715612,-0.8821637170673523
401,OPM BABI,Playboi Carti,78,10B,79,2025-11-09,02:53,66,,,MUSIC,2025-03-14,53,0,0,4,0,30,-6,D,4,76yJsfb1CUy5Um8nFL7jKQ,AWGE/Interscope Records,USUM72502295,Theresa,0.013035033775016736,-0.7350259795953288,0.6564152434015245
402,Inferno,JMSN,99,3B,91,2025-11-09,04:24,46,,,Velvet,2018-09-21,77,1,0,79,10,0,-5,C♯/D♭,4,5Qg1StPjfDnTY42zF7i02d,White Room Records,TCADT1894959,Theresa,1.5420641100050385,1.747005293090147,-0.18092224304072665
403,McDonald's in the Pentagon,Silly Stu,172,6A,82,2025-11-09,01:05,0,,,McDonald's in the Pentagon,2025-02-25,66,9,0,96,10,40,-7,G minor,4,6VfT8jrHkWOFkyEWjEhpFs,Silly Studios,QZHN62565366,Theresa,1.794305677881539,0.2721902318208589,0.902067848013365
404,対象a,"DEQUAR, Masakazu Kurihara",116,5A,19,2025-11-09,04:35,27,,,ひぐらしのなく頃に奏,2016-10-26,22,95,73,20,0,10,-14,C minor,4,6xT5WxiQpA4zUcjMkEkJep,HATSUNE.LLC,JPZ921610877,Theresa,-4.795644480331201,-2.0440682601306706,-0.6657367558146833
405,the perfect pair,beabadoobee,146,1B,66,2025-11-09,02:57,83,,,Beatopia,2022-07-15,63,43,12,60,0,10,-7,B,4,41P6Tnd8KIHqON0QIydx6a,Dirty Hit,GBK3W2202093,Theresa,-0.2443022164682865,0.15631828745209775,-0.5551762087274662
406,Baby,Charli xcx,128,4A,86,2025-11-09,02:39,51,,,CRASH,2022-03-18,78,14,5,90,0,0,-2,F minor,4,2lE8pY64icLsx6k0Wr9iVF,Atlantic Records,GBAHS2200041,Theresa,1.7883082961053365,1.488869827533023,-1.3059362873300369
407,Theme Of Bayonetta - Mysterious Destiny,Nikola Obermann,140,8B,92,2025-11-09,02:51,44,,,BAYONETTA Original Soundtrack (Vol. 1),2009-11-04,44,4,17,82,0,30,-7,C,4,6VIX3OzSOaQPd1kp3GasbY,WAVEMASTER ENTERTAINMENT,JPX300949500,Bryce,1.2586481362051736,-0.7311968459253688,-0.5445190800180912
408,Girl Afraid - 2011 Remaster,The Smiths,176,11B,93,2025-11-09,02:46,61,,,Hatful of Hollow,1984-00-00,41,0,1,91,0,10,-5,A,4,3UPpzmVM8UHimVKfpAg4xP,WM UK,GBCRL1100071,Theresa,1.9996556128217318,-0.8401886511019561,-1.1013812079670713
409,"Paris, Texas (feat. SYML)","Lana Del Rey, SYML",170,5A,10,2025-11-09,03:26,72,,,Did you know that there's a tunnel under Ocean Blvd,2023-03-24,29,99,6,20,0,10,-18,C minor,3,0Oqxt6JixieLHbwMfnJGWO,Polydor Records,GBUM72206764,Theresa,-4.650455511594412,-1.5622889776977105,0.5220577262671956
410,Messages from the Stars,The Rah Band,113,9B,82,2025-11-09,04:14,70,,,Going Up,1983-00-00,65,6,0,70,0,30,-3,G,4,6lYY2HktYKpV1pUamfRlU1,Shocking Music,GBKSK0500009,Theresa,1.5088333189809517,0.4996490009115788,-0.08888261994807897
411,IRIS OUT,Kenshi Yonezu,135,3B,80,2025-11-09,02:31,87,"j-pop, anime, j-rock","Pop, Rock",IRIS OUT,2025-09-15,75,1,0,89,10,0,-6,C♯/D♭,4,59hVbgr8rfYkDbHfr8RcGI,Sony Music Labels Inc.,JPU902502821,Bryce,1.4708421399255533,1.4455488310729665,-0.25490594078250967
412,1539 N. Calvert,JPEGMAFIA,152,9A,72,2025-11-09,02:37,12,"experimental hip hop, alternative hip hop, experimental","Hip Hop, Electronic, Jazz, Rock",Veteran,2018-01-19,86,28,8,36,10,10,-3,E minor,4,6XyxCBp6x3jvtxXvMN5sAA,JPEGMafia,QM24S1800042,Theresa,0.8182201644118388,0.5434990881987217,0.5728009411982937
413,Pink + White,Frank Ocean,160,11B,55,2025-11-09,03:04,86,,,Blonde,2016-08-20,55,67,0,55,10,40,-7,A,3,3xKsf9qdS1CyvXSMEid6g8,Boys Don't Cry,QZ5C81600003,Theresa,-0.47419903887336884,-0.4543065246043159,1.6478389102671502
414,Buddy Holly,Weezer,121,4B,92,2025-11-09,02:39,77,alternative rock,Rock,Weezer,1994-05-10,56,0,0,77,0,10,-5,G#/A♭,4,3mwvKOyMmG77zZRunnxp9E,DGC,USGF19562907,Theresa,1.5211457610360009,0.31519221460046004,-0.8452475940121245
415,Wat's Wrong (feat. Zacari & Kendrick Lamar),"Isaiah Rashad, Zacari, Kendrick Lamar",126,3B,69,2025-11-09,05:30,66,"hip hop, west coast hip hop",Hip Hop,The Sun's Tirade,2016-09-02,71,15,0,31,20,40,-6,C♯/D♭,4,2RPbEp0DyBVlkRvvYKopO7,Top Dawg Entertainment,TCACR1650835,Theresa,0.6092502727838547,0.026919958835389644,2.6178084849825445
416, DEVILS NEVER CRY (スタッフロール),Capcom Sound Team,150,9B,95,2025-11-09,05:19,0,"japanese vgm, soundtrack","Electronic, Classical, Easy Listening",デビル メイ クライ 3 オリジナル・サウンドトラック,2005-03-31,26,0,4,16,10,10,-7,G,4,3ozivYJGJGq6TSzdy8m64X,カプコン セルピュータ,JPE100500980,Theresa,0.7358444271978275,-2.5019939157584767,0.5699162203795742
417,Monster Of God,Yasushi Ishii,84,4A,28,2025-11-09,02:45,11,,,Hellsing Intro,2015-05-03,23,57,89,7,0,0,-11,F minor,3,34uJnLudlJiasZSKHhWx0X,9326079 Records DK,QZWFL2548559,Bryce,-4.073583943665136,-2.127433934139436,-1.3042810790301267
418,Hunting Soul - English Version,"トシロウ（CV.谷山紀章）, Marc Hudson",174,1B,96,2025-11-09,03:56,60,"anime, power metal","Pop, Metal",Hunting Soul (from  Dan Da Dan  Season 2 Soundtrack),2025-08-08,27,0,0,11,10,20,-5,B,4,4gWbjrtwCsh9lwPE7l4h0c,Milan Records,JPE302501047,Bryce,1.2742440151379613,-2.9990855817221065,0.9371243676106882
419,Drift Around!,"Breeton Boi, V!CE",170,11A,95,2025-11-09,02:38,21,"anime rap, anime","Pop, Hip Hop",PERSONA-FICATION,2025-02-28,45,7,0,66,10,20,-7,F#/G♭ minor,4,5OF3BHMoCd3j8xtLw5RfgW,Breeton Boi,QZHN42553569,Bryce,1.5466946687756356,-1.0455908927802728,0.4760165034661212
420,Brainstorm,"Breeton Boi, V!CE",130,10A,63,2025-11-09,03:00,19,"anime rap, anime","Pop, Hip Hop",PERSONA-FICATION,2025-02-28,88,7,0,60,20,0,-11,B minor,4,18dwNGSwj0PzyR76rjnnAN,Breeton Boi,QZHN42553571,Bryce,0.043992424314223545,1.8158496345097648,1.1983073751604787
421,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock, Kendrick Lamar, Future, James Blake",137,3B,71,2025-11-09,03:49,67,"hip hop, west coast hip hop, rap",Hip Hop,"King's Dead (with Kendrick Lamar, Future & James Blake)",2018-01-12,65,0,0,38,30,10,-5,C♯/D♭,4,51rXHuKN8Loc4sUlKPODgH,Black Panther (TDE/DMG) PS,USUM71714093,Bryce,1.1268311067326093,0.06614976596511114,2.4166977397262497
