 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Contributor,PC1,PC2,PC3
180,Blu,Jon Bellion,132,8B,47,2025-04-10,03:03,52,,,Glory Sound Prep,2018-11-09,38,29,0,64,0,30,-9,C,4,4FUDWkguOUVpLRAVn5C20z,Capitol Records,USUM71817097,TJ,-0.733661680182712,-0.6142567200761884,0.24555683543005702
181,WASH,Jon Bellion,140,8B,55,2025-04-10,03:39,50,,,WASH,2025-03-21,48,6,0,20,0,10,-4,C,4,6KPtG0aIKnSqszstXgH2NS,Jon Bellion,USA2P2505006,TJ,0.057990484697671145,-1.1473716269537366,-0.1130563622516648
182,Your Teeth In My Neck,Kali Uchis,116,2A,60,2025-04-10,03:06,68,,,Isolation,2018-04-06,85,7,0,86,0,10,-6,D#/E♭ minor,4,54IbnYEdA3ymfxv07WgN3b,EMI,GBUM71702547,Micah,0.67537741310266,2.051758871065631,-0.6724303905923097
183,Chicago,Michael Jackson,176,6A,76,2025-04-10,04:05,84,,,XSCAPE,2014-05-09,61,8,0,55,10,10,-3,G minor,4,5BKKy9fIJL5uM9fz1SnqyP,Epic/MJJ,USSM11401745,Micah,1.5760583979111598,-0.4985596439800958,0.3276271444602326
184,リズと青い鳥 第三楽章「愛ゆえの決断」,北宇治高校吹奏楽部,71,7A,14,2025-04-11,06:27,1,brass band,"Classical, Traditional Music","映画『リズと青い鳥』オリジナルサウンドトラック「girls,dance,staircase」",2018-04-25,18,91,91,4,0,10,-17,D minor,4,04XhdVM3q2qPusWPEmg95c,Lantis,JPI101801198,Shelbie,-5.985985270666556,-2.027385065592644,-0.692732108331985
185,Long Time Sunshine,Weezer,136,5B,34,2025-06-09,04:17,39,alternative rock,Rock,Pinkerton - Deluxe Edition,1996-09-24,37,76,20,32,0,10,-9,D#/E♭,4,2pY4j2aJ5nyw0IjhgpeAEW,Geffen,USUM71022560,Shelbie,-2.5107697322830855,-1.0957987177195243,-0.1445865536779292
186,Just like Heaven,The Cure,151,11B,97,2025-04-12,03:32,73,"new wave, post-punk, gothic rock, darkwave","Electronic, Rock, Pop","Kiss Me, Kiss Me, Kiss Me",1987-05-25,43,3,0,76,0,10,-4,A,4,76GlO5H5RT6g7y0gev86Nk,Rhino/Elektra,USEE18700009,Sarah,1.8712453528255097,-0.7203842340946861,-0.9260651429287001
187,Stacy's Mom,Fountains Of Wayne,118,10A,75,2025-04-12,03:17,74,power pop,"Pop, Rock",Welcome Interstate Managers,2003-01-01,77,0,0,93,0,0,-5,B minor,4,27L8sESb3KR79asDUBu8nW,S-Curve Records,USESC0300016,Sarah,1.3047221957077713,1.7852810935522214,-1.1926099229166578
188,"무제(無題) (Untitled, 2014)",G-DRAGON,80,12B,46,2025-04-15,03:42,66,"k-pop, k-rap","Pop, Hip Hop",KWON JI YONG,2017-06-08,58,79,0,26,0,10,-5,E,4,16BS342F89MDqouSxgLaUK,YG Entertainment,KRA401700147,Kathryn,-1.8241011518162742,0.5484689927819291,0.22688841251388275
189,Run BTS,BTS,77,4B,82,2025-04-15,03:24,76,k-pop,Pop,Proof,2022-06-10,72,2,0,70,10,0,-4,G#/A♭,4,69xohKu8C1fsflYAiSNbwM,BIGHIT MUSIC,USA2P2226298,Kathryn,1.160515469367619,1.7043999479206393,-0.05352352471480324
190,Just Right,GOT7,96,10A,78,2025-04-15,03:42,61,k-pop,Pop,Just Right,2015-07-13,76,23,0,74,0,10,-3,B minor,4,16dL6zhP5MLxEwX8sbqCOa,Republic Records - JYP Entertainment,US5TA1500041,Kathryn,0.9811866290139392,1.5879361559783942,-0.6323571452044916
191,VERY NICE,SEVENTEEN,122,2A,90,2025-04-15,03:12,68,k-pop,Pop,Love&Letter repackage album,2016-07-04,75,5,0,88,0,0,-3,D#/E♭ minor,4,1Rrj7KyS2R6SP9CQMDJW1w,PLEDIS ENTERTAINMENT,KRA381601262,Kathryn,1.8560703784401762,1.4275679606745049,-1.2372171137833645
192,Daechwita,Agust D,145,4B,83,2025-04-15,03:45,74,"k-pop, k-rap","Pop, Hip Hop",D-2,2020-05-22,65,2,0,22,0,10,-4,G#/A♭,4,0JKGe340YJwfDrpXqPQ8sw,BIGHIT MUSIC,QM6N22036182,Kathryn,0.9850710252276382,-0.64014806118735,-0.23726906749929724
193,moonchild,RM,158,8A,87,2025-04-15,03:25,61,"k-pop, k-rap","Pop, Hip Hop",mono.,2018-10-23,50,3,0,19,20,0,-6,A minor,4,6BnciRM9jyEP9cEjvoN5eI,BIGHIT MUSIC,QM6P41828292,Kathryn,0.9675300899444836,-1.2601230399766663,1.2885836090487162
194,She's In The Rain,The Rose,93,5B,54,2025-04-15,03:57,60,"k-rock, k-pop","Pop, Rock",Dawn,2018-10-04,51,37,0,41,0,0,-4,D#/E♭,4,43NeZM2TbrQr6djoAnDyVo,㈜RBW,KRMIM1809544,Kathryn,-0.6151682343475421,0.2544404276796128,-0.4792057005386364
195,Welcome To Jamrock,Damian Marley,77,10B,71,2025-04-15,03:33,60,"reggae, ragga, roots reggae","Hip Hop, Reggae",Welcome To Jamrock,2005-01-01,84,3,0,78,30,30,-5,D,4,4PvVHAkONOaS6v4wgONGYZ,Universal Records/Tuff Gong Records,USUM70502070,Gabe,1.3615038676732811,2.2675379429882407,2.73381761807521
196,The Moss,Cosmo Sheldrake,128,12A,51,2025-04-15,04:02,55,,,The Moss,2014-03-14,62,68,0,44,0,10,-6,C♯/D♭ minor,4,4NaGY243CJk0aNbxvgLBQJ,Transgressive Records,GBKZV1424960,Gabe,-1.0978616583963228,0.3531179187611323,-0.039294445886943245
197,fine (haste),kurffew,193,7B,93,2025-04-16,02:11,30,,,fine,2023-11-30,39,9,11,57,0,20,-6,F,4,1wMignpvHaJvwDPlqWKXkG,kurffew,QZWFH2340421,Jean,1.388217199180207,-1.988568156242164,-0.5631123947341512
198,Chest Pain (I Love),Malcolm Todd,150,9A,49,2025-04-16,03:20,77,,,Malcolm Todd,2025-04-04,61,26,0,37,0,30,-8,E minor,3,2XUx8PCXGpP1XhZJMGiUol,Columbia,USSM12409404,Jean,-0.5474776475049201,-0.43554085309938234,0.5319913954794847
199,Alarm Call,The Correspondents,80,8A,64,2025-04-16,04:40,19,electro swing,"Electronic, Jazz",Puppet Loosely Strung,2014-03-14,51,5,0,11,0,0,-8,A minor,4,3uMGygzTNCOwnSPLnqydBM,Central Station Records,AUCN31206660,Puffy,-0.8602484184006602,-0.22828151802249666,-0.2357341905095397
200,No Church In The Wild,"JAY-Z, Kanye West, Frank Ocean, The-Dream",93,1A,75,2025-04-16,04:32,76,"hip hop, east coast hip hop, rap, r&b","Hip Hop, R&B",Watch The Throne,2011-08-08,65,24,2,56,10,10,-8,G#/A♭ minor,4,7r6PigmGzlB3YPB7wvBBbi,Roc Nation/RocAFella/IDJ,USUM71111617,Puffy,-0.01647300069500339,0.9805508815020562,0.5287517904339029
201,First Rate Town,Good Kid,92,1B,99,2025-08-01,02:02,54,,,First Rate Town,2023-01-27,44,0,0,89,0,30,-4,B,4,1P59E9uaeejHQ5xu0EG4p6,Good Kid Music Inc.,QMFME2264385,Jean,1.8507723440193253,0.1436162474704325,-0.4020739876754444
202,Shinunoga E-Wa,Fujii Kaze,158,11A,76,2025-08-06,03:05,77,j-pop,Pop,HELP EVER HURT NEVER,2020-05-20,60,17,0,52,0,10,-6,F#/G♭ minor,4,0o9zmvc5f3EFApU52PPIyW,Universal Music LLC,JPPO02000610,TJ,0.673870298697632,-0.32423389192790003,-0.4530505005341057
203,ひまわりの約束,Motohiro Hata,79,6B,45,2025-08-06,05:08,64,"j-pop, anime",Pop,青の光景,2015-12-16,52,19,0,34,0,10,-6,A#/B♭,4,45jGOHwYKgsRYbAJ8DR61d,Universal Music LLC,JPU901400745,TJ,-0.9465399075715247,0.2852340017406563,-0.0638008788632584
204,You Don't Know The Shape I'm In,MJ Lenderman,122,11A,47,2025-08-07,03:36,58,alt country,"Country, Rock",Manning Fireworks,2024-09-06,74,58,3,55,0,10,-12,F#/G♭ minor,4,1ZBQPkEYHOv3LfgU6v0h0S,Anti/Epitaph,USEP42405006,Tony,-1.796040835282282,1.2440206552558317,-0.07057753029975086
205,Sometimes,Mannequin Pussy,87,3B,95,2025-08-07,03:27,49,"riot grrrl, queercore, indie punk",Rock,I Got Heaven,2024-03-01,50,0,2,32,0,0,-6,C♯/D♭,4,2hVbai5ZN5yykTbSteAPKy,Epitaph,USEP42344005,Tony,0.5726113108205259,-0.2452042352679969,-0.6950663738383133
206,American,Frog,158,3A,83,2025-08-07,03:12,27,,,Whatever We Probably Already Had It,2018-11-30,38,1,21,39,10,10,-8,A#/B♭ minor,4,0h37X7J1ilI7wFYLCRgOTD,Audio Antihero,GB4XS1800059,Tony,0.4993056429985082,-1.7521747775462784,0.1523927155739901
207,Domestic Thought Experiment,Shagg Carpet,90,9B,79,2025-08-07,03:51,2,egg punk,Rock,Domestic Thought Experiment,2025-06-11,43,8,71,58,0,30,-8,G,4,30CxbEouGpnF9aDAcIbnO3,M.E.C. RECS & Sockhead Records,QZTB22525090,Tony,-0.41462885246859627,-1.0493843802470606,-1.0328136402042856
208,Cents Cents Money Money,Blowout,200,9B,87,2025-08-07,02:34,0,"riot grrrl, midwest emo, queercore, math rock, indie punk",Rock,"No Beer, No Dad (Redux)",2020-01-09,44,1,0,78,0,0,-4,G,4,7fTSouGcePc6eJo0I381Hu,Lauren Records,USA2P1961130,Tony,1.954194436610904,-1.1489348414753746,-1.2632264370108035
