 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Contributor
53,Harness Your Hopes - B-side,Pavement,108,10B,57,2025-06-17,03:26,72,"alternative rock, indie","Rock, Pop",Brighten the Corners: Nicene Creedence Ed.,2008-12-09,60,29,4,58,0,10,-8,D,4,4vsoWZcvtvSsE0OiVvDDvX,Matador,USMTD0880519,Sarah
54,Your Love Is My Drug,Kesha,120,3B,61,2025-06-17,03:07,76,,,Animal (Expanded Edition),2010-01-01,83,1,0,76,10,0,-4,C♯/D♭,4,6vc2Jq2vaGu8z326kSrw92,RCA Records Label,USRC10900735,Sarah
55,The Name of Heaven,"NAOKI, Arc System Works",76,8B,77,2025-06-17,04:13,36,,,GUILTY GEAR -STRIVE- ORIGINAL SOUND TRACK VOL.1,2021-10-01,45,2,0,35,0,10,-5,C,4,7rNaFhd3uNKB3UDPxrLDEI,ARC SYSTEM WORKS,TCJPP2140753,Bryce
56,This Is America,Childish Gambino,120,7B,46,2025-06-17,03:45,67,,,This Is America,2018-05-06,85,12,0,55,10,30,-6,F,4,0b9oOr2ZgvyQu88wzixux9,Wolf+Rothstein/RCA Records,USRC11801773,Bryce
57,We Don't Care,Kanye West,83,10A,75,2025-06-17,03:59,66,rap,Hip Hop,The College Dropout,2004-02-10,60,1,0,65,10,20,-6,B minor,4,0IW0qaeyxL5Et4UG2MrJKB,Roc-A-Fella,USDJ20400032,Bryce
58,Poison,Bell Biv DeVoe,112,11A,56,2025-06-18,04:21,76,new jack swing,R&B,Poison,1990-01-01,84,0,0,78,20,60,-11,F#/G♭ minor,4,6m59VvDUi0UQsB2eZ9wVbH,Geffen,USMC19031167,Micah
59,Melodies From Heaven,Kirk Franklin & The Family,171,8B,76,2025-06-18,04:34,54,gospel,Christian,Whatcha Lookin' 4,1995-00-00,30,4,0,44,20,90,-10,C,4,2KxluFxumfo23bZqZzGToW,Gospocentric,USGCR0600247,Micah
60,Twilight,Electric Light Orchestra,140,8B,70,2025-06-19,03:41,50,"art rock, soft rock",Rock,Time,1981-08-01,31,43,0,20,0,80,-11,C,4,03ZVEpSeeJfROJW65OHgsf,Epic/Legacy,USSM18100550,Clark
61,The Whole of the Moon - 2004 Remaster,The Waterboys,106,8B,80,2025-06-19,05:02,68,celtic rock,Rock,This Is the Sea (Deluxe Version),1985-09-16,61,12,0,58,0,10,-7,C,4,1LzFh1VZ0FLeUesOFEuhyl,Chrysalis Records,GBAYK0400026,Clark
62,One Thing Left to Try,MGMT,128,4B,94,2025-06-19,04:20,47,indie,"Pop, Rock",Little Dark Age,2018-02-09,58,1,0,67,0,30,-5,G#/A♭,4,52pWggDlN5mVeX111i06PP,Columbia,USSM11707041,Clark
