Track Name,Artist,Contributed By,Spotify ID
"a FEW songs (feat. Love Mansuy, Ogi, and Smino)","Saba, No ID, Love Mansuy, Ogi, Smino",TJ,7K9DMSR7ZlN1aAzJas8220
In My Head,Jason Derulo,Sarah,5BoIP8Eha5hwmRVURkC2Us
Royal,Waterparks,Miller,1CMj3RNTdHBnLU7hoZjjKY
C'est La Vie,Weathers,Miller,1AFqqY3WHzJ18o3NLK07gE
サマーアイドル,OSTER project,Shelbie,6IWQMOubrT9skrCKz2LE2h
Bop Gun (Endangered Species),Parliament,Sam,3fHrnF1MxAZaiGVkGIxM9h
Castle on the Hill,Ed Sheeran,Kathryn,6PCUP3dWmTjcTtXY02oFdT
Galway Girl,Ed Sheeran,Kathryn,0afhq8XCExXpqazXczTSve
Midnight Memories,One Direction,Kathryn,5wjmqUGN7vrAqFqDWrywlZ
Best Song Ever,One Direction,Kathryn,5T7ZFtCcOgkpjxcuaeZbw0
Army of Ancients,Dr. Dog,Shelbie,5lrr5ULU5P9tA8NPUPTS42
blue,yung kai,Aiden,3be9ACTxtcL6Zm4vJRUiPG
Undercover Martyn,Two Door Cinema Club,Aiden,1JmRbZclLHgneDrpyA9e3X
